                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86153,                 4.4305,                0.51563,                0.84697,                 1.0209,                0.95937,                      1,                  0.995,                0.86486,                0.95937,                      1,                  0.995,                0.52106,                0.69611,                 2.0938,                0.31042,                 1.0705,                0.77529,              0.0018654,              0.0018654,              0.0018654
                     37,                0.74791,                 4.4235,                0.55445,                0.63503,                0.97396,                0.96927,                      1,                  0.995,                0.83072,                0.96927,                      1,                  0.995,                0.65311,                0.69318,                 1.4366,                0.31546,                0.68946,                0.74941,              0.0018614,              0.0018614,              0.0018614
                     38,                  0.772,                 4.0091,                0.51702,                0.58859,                0.98838,                0.98403,                      1,                  0.995,                0.86403,                0.98403,                      1,                  0.995,                0.60967,                 0.6865,                 1.5018,                0.31693,                0.39734,                0.74732,              0.0018574,              0.0018574,              0.0018574
                     39,                0.87736,                 3.9362,                0.49514,                0.63491,                0.99516,                0.98606,                      1,                  0.995,                0.89848,                0.98606,                      1,                  0.995,                0.63173,                0.60536,                 1.7078,                0.32543,                0.37864,                0.70656,              0.0018535,              0.0018535,              0.0018535
                     40,                0.80571,                 3.3601,                0.46956,                0.59027,                      1,                0.98668,                      1,                  0.995,                0.76924,                0.98668,                      1,                  0.995,                 0.4975,                0.84312,                 2.0393,                0.31407,                0.44392,                0.83528,              0.0018495,              0.0018495,              0.0018495
                     41,                0.96358,                 4.3698,                0.50644,                0.63104,                 1.0403,                0.98624,                      1,                  0.995,                0.75571,                0.98624,                      1,                  0.995,                0.51051,                0.91505,                  2.326,                0.31389,                0.47023,                 0.8646,              0.0018456,              0.0018456,              0.0018456
                     42,                0.83793,                 3.9129,                0.50401,                0.62299,                0.97694,                0.98448,                      1,                  0.995,                0.81344,                0.98448,                      1,                  0.995,                0.69839,                0.73782,                 1.5595,                0.31724,                0.42742,                0.74398,              0.0018416,              0.0018416,              0.0018416
                     43,                 0.9121,                  3.936,                 0.4788,                0.62652,                 1.0298,                0.98539,                      1,                  0.995,                  0.796,                0.98539,                      1,                  0.995,                0.66518,                0.83155,                 1.9821,                0.31029,                0.43736,                0.82466,              0.0018376,              0.0018376,              0.0018376
                     44,                0.80103,                 4.0747,                0.53183,                 0.5969,                 1.0144,                0.98527,                      1,                  0.995,                 0.8169,                0.98527,                      1,                  0.995,                0.74504,                0.76136,                 1.2436,                0.32399,                0.40517,                0.75198,              0.0018337,              0.0018337,              0.0018337
                     45,                0.82193,                 3.7098,                0.49331,                0.58342,                 0.9913,                0.98578,                      1,                  0.995,                0.86624,                0.98578,                      1,                  0.995,                0.71135,                0.72994,                 1.4445,                0.32862,                0.37151,                0.75021,              0.0018297,              0.0018297,              0.0018297
                     46,                0.79121,                 3.8646,                0.48447,                0.61945,                0.95559,                0.98609,                      1,                  0.995,                0.85524,                0.98609,                      1,                  0.995,                0.54557,                0.67677,                 1.8702,                0.32359,                0.43564,                0.77323,              0.0018258,              0.0018258,              0.0018258
                     47,                0.76008,                 3.6158,                0.47531,                0.56912,                0.98635,                0.98481,                      1,                  0.995,                0.85711,                0.98481,                      1,                  0.995,                0.71878,                0.57809,                 1.5731,                0.33323,                0.33886,                 0.7044,              0.0018218,              0.0018218,              0.0018218
                     48,                0.81427,                 3.8267,                0.46956,                0.58938,                0.96756,                0.98446,                      1,                  0.995,                 0.8955,                0.98446,                      1,                  0.995,                 0.6965,                0.63664,                 1.4348,                0.33204,                 0.3441,                0.72595,              0.0018178,              0.0018178,              0.0018178
                     49,                0.77499,                 3.3789,                0.47501,                0.58407,                0.91928,                 0.9847,                      1,                  0.995,                0.85348,                 0.9847,                      1,                  0.995,                0.54381,                0.64244,                  1.747,                0.32892,                0.34281,                0.74342,              0.0018139,              0.0018139,              0.0018139
                     50,                0.77354,                 3.4594,                 0.4725,                0.59289,                0.92158,                0.98621,                      1,                  0.995,                0.80882,                0.98621,                      1,                  0.995,                 0.6965,                0.65067,                 1.3405,                0.33008,                 0.4182,                0.75451,              0.0018099,              0.0018099,              0.0018099
                     51,                0.75527,                   3.34,                0.46977,                0.52853,                0.95404,                0.98233,                      1,                  0.995,                 0.8955,                0.98233,                      1,                  0.995,                0.68072,                0.66935,                 1.4458,                0.33385,                0.41932,                0.75738,               0.001806,               0.001806,               0.001806
                     52,                0.82705,                 3.4923,                  0.507,                0.59586,                 1.0092,                0.98562,                      1,                  0.995,                 0.8955,                0.98562,                      1,                  0.995,                0.54394,                0.81154,                 1.6403,                 0.3371,                0.42303,                0.78387,               0.001802,               0.001802,               0.001802
