                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82268,                 8.3299,                0.54439,                 0.6717,                0.96842,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                 4.5473,                     12,                      0,                    inf,                 281.96,              0.0018654,              0.0018654,              0.0018654
                     36,                0.99321,                 8.1674,                0.49158,                 0.6587,                 1.0648,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0018614,              0.0018614,              0.0018614
                     37,                 0.9167,                 8.0191,                 0.5355,                0.66357,                0.98768,                0.00333,                      1,                0.25064,                0.07539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0018574,              0.0018574,              0.0018574
                     38,                0.78707,                 7.6609,                0.50959,                0.62314,                0.98069,                0.00333,                      1,                 0.0103,                0.00402,                      0,                      0,                      0,                      0,                 2.8052,                 11.986,                0.03675,                    inf,                   9.37,              0.0018535,              0.0018535,              0.0018535
                     39,                0.79338,                 7.2262,                  0.508,                0.61566,                 0.9584,                0.00333,                      1,                 0.0103,                0.00402,                      0,                      0,                      0,                      0,                 6.2792,                 11.065,                0.49295,                    inf,                   12.3,              0.0018495,              0.0018495,              0.0018495
                     40,                0.81047,                 8.3385,                0.50806,                0.60692,                 0.9644,                0.07561,                    0.5,                 0.0712,                0.04984,                      0,                      0,                      0,                      0,                  1.224,                 9.7535,                0.36628,                 16.173,                  1.441,              0.0018456,              0.0018456,              0.0018456
                     41,                0.87127,                 7.4983,                0.52015,                0.63585,                0.94999,                0.07561,                    0.5,                 0.0712,                0.04984,                      0,                      0,                      0,                      0,                  1.224,                 9.7535,                0.36628,                 16.173,                  1.441,              0.0018416,              0.0018416,              0.0018416
                     42,                0.90778,                 7.2936,                0.54411,                0.68108,                  1.017,                      1,                    0.5,                0.49612,                0.30328,                      0,                      0,                      0,                      0,                0.92638,                 9.1413,                0.22564,                 11.122,                 1.3673,              0.0018376,              0.0018376,              0.0018376
                     43,                0.85849,                 7.4047,                0.53288,                0.61735,                0.94864,                      1,                    0.5,                0.49571,                0.39657,                      0,                      0,                      0,                      0,                0.76401,                  10.32,                0.14376,                 9.0825,                  1.367,              0.0018337,              0.0018337,              0.0018337
                     44,                0.83804,                  7.414,                 0.5094,                0.62879,                 1.0085,                0.66667,                      1,                0.82833,                0.59616,                      0,                      0,                      0,                      0,                0.74809,                 10.891,                0.12382,                 8.4784,                 1.4695,              0.0018297,              0.0018297,              0.0018297
                     45,                0.74204,                  6.757,                0.50047,                0.59362,                0.97312,                0.66667,                      1,                0.82833,                0.59616,                      0,                      0,                      0,                      0,                0.74809,                 10.891,                0.12382,                 8.4784,                 1.4695,              0.0018258,              0.0018258,              0.0018258
                     46,                0.77353,                 6.6701,                0.50197,                0.52679,                0.98377,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                0.76499,                 8.9502,                0.17446,                 5.1118,                 1.1722,              0.0018218,              0.0018218,              0.0018218
                     47,                 0.7963,                 6.9285,                0.49103,                0.55515,                0.96182,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   1077,                      0,              0.0018178,              0.0018178,              0.0018178
                     48,                0.68212,                 6.8925,                0.47475,                0.54777,                 0.9042,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   1506,                      0,              0.0018139,              0.0018139,              0.0018139
                     49,                0.79626,                  6.796,                0.47602,                0.54543,                0.95337,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   1506,                      0,              0.0018099,              0.0018099,              0.0018099
                     50,                0.73585,                 6.6215,                 0.4671,                 0.5137,                0.92888,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   4924,                      0,               0.001806,               0.001806,               0.001806
                     51,                0.64613,                 6.2422,                0.50258,                0.50991,                0.88905,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   9816,                      0,               0.001802,               0.001802,               0.001802
                     52,                0.79389,                  6.806,                 0.4767,                0.62858,                0.99113,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                0.26462,                     12,                 178.55,                  16848,                 15.881,               0.001798,               0.001798,               0.001798
                     53,                0.75031,                 5.8108,                  0.451,                0.56115,                0.96327,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                0.26462,                     12,                 178.55,                  16848,                 15.881,              0.0017941,              0.0017941,              0.0017941
                     54,                0.71051,                 5.9864,                0.47547,                0.55686,                0.90003,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                     12,                 115.46,                  11512,                  1e-05,              0.0017901,              0.0017901,              0.0017901
                     55,                0.79249,                 6.7121,                0.49481,                0.59955,                0.94881,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   9208,                      0,              0.0017862,              0.0017862,              0.0017862
                     56,                 0.7457,                 6.3759,                0.53602,                0.58556,                0.94436,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   6248,                      0,              0.0017822,              0.0017822,              0.0017822
                     57,                0.72458,                 5.9886,                0.47933,                0.58878,                0.96001,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   6248,                      0,              0.0017782,              0.0017782,              0.0017782
                     58,                0.60661,                 5.7673,                0.50787,                0.51892,                0.89447,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   1992,                      0,              0.0017743,              0.0017743,              0.0017743
                     59,                0.67736,                  5.866,                0.51397,                0.55019,                0.89541,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 185.75,                      0,              0.0017703,              0.0017703,              0.0017703
                     60,                0.68196,                 6.1572,                0.51176,                0.54452,                0.95263,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    448,                      0,              0.0017664,              0.0017664,              0.0017664
                     61,                0.66232,                 5.5521,                0.48109,                0.47636,                0.92756,                0.66667,                      1,                0.82833,                0.71281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    448,                      0,              0.0017624,              0.0017624,              0.0017624
                     62,                0.76964,                  5.669,                0.48808,                0.55216,                  1.029,                0.04904,                    0.5,                0.03069,                0.01117,                      0,                      0,                      0,                      0,                 3.0117,                 8.2147,                0.29953,                 10.427,                 3.2158,              0.0017584,              0.0017584,              0.0017584
                     63,                0.69385,                 5.9363,                0.50727,                0.52719,                0.98834,                0.06157,                    0.5,                0.03719,                0.01244,                0.01605,                    0.5,                0.01951,                0.00585,                 3.2158,                 7.3762,                0.19266,                 7.8073,                 2.5231,              0.0017545,              0.0017545,              0.0017545
                     64,                0.73999,                 6.2738,                0.52448,                 0.5563,                0.93791,                0.93714,                      1,                  0.995,                 0.8955,                 0.4599,                    0.5,                0.24906,                0.04981,                0.59965,                  4.725,                0.19357,                 2.0772,                0.92771,              0.0017505,              0.0017505,              0.0017505
                     65,                0.64987,                 5.2096,                0.52282,                0.49699,                 0.9479,                0.93714,                      1,                  0.995,                 0.8955,                 0.4599,                    0.5,                0.24906,                0.04981,                0.59965,                  4.725,                0.19357,                 2.0772,                0.92771,              0.0017466,              0.0017466,              0.0017466
                     66,                0.69562,                 5.0552,                0.46715,                0.49798,                0.90866,                0.93372,                      1,                  0.995,                 0.8955,                      0,                      0,                      0,                      0,                0.64466,                  5.648,                0.19206,                 3.6696,                0.92238,              0.0017426,              0.0017426,              0.0017426
                     67,                0.64035,                 5.2922,                0.48732,                0.49337,                0.90824,                0.95536,                      1,                  0.995,                0.94505,                      0,                      0,                      0,                      0,                0.55551,                 6.6121,                0.18687,                 2.8522,                0.82954,              0.0017386,              0.0017386,              0.0017386
                     68,                0.63828,                 6.0775,                0.50652,                 0.5333,                 0.8991,                0.97333,                      1,                  0.995,                 0.8955,                0.97333,                      1,                  0.995,                0.24862,                0.58612,                 3.7684,                0.20863,                 1.0305,                0.79913,              0.0017347,              0.0017347,              0.0017347
                     69,                0.71282,                 5.7084,                0.49719,                0.55589,                0.96375,                0.97333,                      1,                  0.995,                 0.8955,                0.97333,                      1,                  0.995,                0.24862,                0.58612,                 3.7684,                0.20863,                 1.0305,                0.79913,              0.0017307,              0.0017307,              0.0017307
                     70,                0.70648,                 5.2152,                0.47153,                0.51695,                0.93283,                 0.9553,                      1,                  0.995,                0.84566,                 0.9553,                      1,                  0.995,                0.24882,                0.86107,                 4.8013,                0.23204,                 1.5078,                0.88902,              0.0017268,              0.0017268,              0.0017268
                     71,                0.70528,                 5.7144,                0.48632,                0.51224,                0.89977,                0.02798,                      1,                0.03109,                0.01024,                      0,                      0,                      0,                      0,                 2.6292,                 7.8758,                0.24747,                 5.0983,                 1.5899,              0.0017228,              0.0017228,              0.0017228
                     72,                0.66994,                 5.8812,                0.50619,                0.49962,                0.90464,                0.01386,                      1,                0.01715,                0.00343,                      0,                      0,                      0,                      0,                 3.1779,                 8.0472,                0.25348,                 5.3377,                 2.1434,              0.0017188,              0.0017188,              0.0017188
                     73,                0.69939,                 5.4309,                0.46655,                0.50852,                0.93668,                0.01386,                      1,                0.01715,                0.00343,                      0,                      0,                      0,                      0,                 3.1779,                 8.0472,                0.25348,                 5.3377,                 2.1434,              0.0017149,              0.0017149,              0.0017149
                     74,                 0.6912,                 5.6055,                0.50141,                 0.5031,                0.92101,                0.80995,                    0.5,                  0.695,                 0.3475,                0.80995,                    0.5,                 0.4965,                 0.0993,                  2.056,                 6.1066,                0.24553,                 2.5304,                 1.3752,              0.0017109,              0.0017109,              0.0017109
                     75,                 0.7036,                 5.2732,                0.50043,                0.52276,                0.95081,                0.95108,                      1,                  0.995,                  0.796,                0.95108,                      1,                  0.995,                 0.0995,                 1.0143,                  4.212,                0.22793,                 1.2044,                0.89003,               0.001707,               0.001707,               0.001707
                     76,                0.72568,                 4.7947,                0.50065,                0.48335,                0.93456,                0.96316,                      1,                  0.995,                 0.8955,                0.47844,                    0.5,                0.24792,                0.12396,                0.60509,                 4.1175,                0.20371,                  6.404,                0.80566,               0.001703,               0.001703,               0.001703
                     77,                0.63973,                 5.3437,                0.48737,                0.46509,                0.90924,                0.96316,                      1,                  0.995,                 0.8955,                0.47844,                    0.5,                0.24792,                0.12396,                0.60509,                 4.1175,                0.20371,                  6.404,                0.80566,               0.001699,               0.001699,               0.001699
                     78,                0.71841,                 5.4917,                0.50091,                0.48905,                0.93556,                0.97241,                      1,                  0.995,                0.82079,                0.48563,                    0.5,                0.24792,                0.04958,                0.64125,                 4.7661,                0.19805,                0.93768,                0.90155,              0.0016951,              0.0016951,              0.0016951
                     79,                0.74007,                 4.9472,                0.47319,                0.48826,                0.93035,                0.97433,                      1,                  0.995,                 0.8955,                0.97433,                      1,                  0.995,                 0.2734,                 0.6775,                 3.0882,                 0.2079,                0.70119,                0.92189,              0.0016911,              0.0016911,              0.0016911
                     80,                0.55754,                 4.8575,                 0.4731,                0.44366,                0.87798,                0.94939,                      1,                  0.995,                 0.8955,                0.47417,                    0.5,                  0.256,                 0.0768,                0.60506,                   4.11,                0.20203,                0.63981,                0.83611,              0.0016872,              0.0016872,              0.0016872
                     81,                0.69743,                   5.18,                0.46566,                0.48735,                0.89388,                0.94939,                      1,                  0.995,                 0.8955,                0.47417,                    0.5,                  0.256,                 0.0768,                0.60506,                   4.11,                0.20203,                0.63981,                0.83611,              0.0016832,              0.0016832,              0.0016832
                     82,                0.71276,                 5.3562,                0.48967,                0.50787,                0.93971,                 0.8948,                      1,                  0.995,                 0.8955,                0.44128,                    0.5,                0.25523,                0.02552,                0.59905,                 4.1875,                0.20106,                0.79872,                0.84808,              0.0016792,              0.0016792,              0.0016792
                     83,                0.70917,                 5.1422,                0.48312,                0.48814,                0.96693,                0.88696,                      1,                  0.995,                 0.8955,                0.88696,                      1,                  0.995,                 0.2244,                0.58131,                 3.7354,                0.20465,                 0.6828,                0.83891,              0.0016753,              0.0016753,              0.0016753
                     84,                0.63338,                 4.7514,                0.47403,                 0.5066,                0.94225,                0.90637,                      1,                  0.995,                0.82082,                0.90637,                      1,                  0.995,                0.44686,                0.70883,                 3.1703,                 0.2185,                 1.1135,                0.92529,              0.0016713,              0.0016713,              0.0016713
                     85,                0.67162,                 5.8007,                0.53187,                0.47354,                0.93352,                0.90637,                      1,                  0.995,                0.82082,                0.90637,                      1,                  0.995,                0.44686,                0.70883,                 3.1703,                 0.2185,                 1.1135,                0.92529,              0.0016674,              0.0016674,              0.0016674
