                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.76616,                  5.293,                0.54912,                0.57164,                0.94981,                0.98707,                      1,                  0.995,                0.87058,                      0,                      0,                      0,                      0,                0.75483,                 6.3936,                0.59366,                0.81091,                 0.9538,              0.0018178,              0.0018178,              0.0018178
                     49,                0.76242,                 5.0749,                0.56314,                0.60103,                0.95372,                0.98701,                      1,                  0.995,                0.94525,                  0.628,                    0.5,                0.41417,                0.04977,                0.52771,                 5.3103,                0.58407,                0.50665,                0.81519,              0.0018139,              0.0018139,              0.0018139
                     50,                 0.7132,                 5.1899,                0.54978,                0.56876,                0.95852,                0.98916,                      1,                  0.995,                 0.8955,                 0.6345,                    0.5,                0.33068,                0.07435,                0.58146,                 4.5358,                0.57699,                0.81507,                0.76698,              0.0018099,              0.0018099,              0.0018099
                     51,                0.67921,                 5.0847,                 0.5825,                0.55312,                0.92418,                0.98528,                      1,                  0.995,                 0.8955,                0.61472,                    0.5,                0.33051,                0.09915,                0.54011,                 4.5138,                0.57569,                 1.2476,                0.76992,               0.001806,               0.001806,               0.001806
                     52,                0.71845,                 4.8676,                0.54307,                0.57674,                0.95185,                0.97065,                      1,                  0.995,                0.86453,                0.51417,                    0.5,                0.33367,                0.08361,                0.61685,                 4.1409,                0.57309,                0.71049,                0.77641,               0.001802,               0.001802,               0.001802
                     53,                0.71881,                 5.0171,                0.55273,                0.57463,                0.94436,                0.95052,                      1,                  0.995,                 0.7213,                0.46913,                    0.5,                0.25148,                 0.0503,                0.89483,                 5.0387,                0.57838,                  1.261,                0.80196,               0.001798,               0.001798,               0.001798
                     54,                0.72937,                 5.0483,                0.55977,                0.57489,                0.93597,                0.95604,                   0.75,                0.76826,                0.45682,                0.00658,                   0.25,                 0.0082,                0.00082,                 1.7824,                 5.9997,                0.58338,                 1.5538,                 1.1348,              0.0017941,              0.0017941,              0.0017941
                     55,                0.69263,                 4.7423,                0.56802,                0.56913,                0.92727,                0.94613,                   0.25,                0.40214,                0.24069,                 0.1247,                   0.25,                0.05288,                0.02115,                 2.0248,                 5.7349,                0.58727,                  1.853,                 1.3512,              0.0017901,              0.0017901,              0.0017901
                     56,                0.71067,                 5.0289,                0.55677,                0.59357,                0.95759,                      1,                 0.4798,                0.71722,                0.53401,                      0,                      0,                      0,                      0,                 1.0993,                  7.961,                 0.5831,                 1.3799,                0.99944,              0.0017862,              0.0017862,              0.0017862
                     57,                0.70016,                 4.7185,                 0.5437,                0.59181,                0.95171,                0.73819,                0.71458,                0.82536,                0.60388,                      0,                      0,                      0,                      0,                0.89729,                 6.6673,                0.58229,                 1.0933,                0.88126,              0.0017822,              0.0017822,              0.0017822
                     58,                0.72002,                 4.9336,                0.56152,                0.58057,                0.98426,                0.97938,                      1,                  0.995,                0.73973,                0.46288,                   0.25,                 0.1301,                0.03903,                 0.9231,                 4.7734,                0.57853,                0.60985,                0.88113,              0.0017782,              0.0017782,              0.0017782
                     59,                0.70283,                 4.7513,                0.52759,                0.53522,                0.91821,                0.98639,                      1,                  0.995,                0.80217,                0.44417,                   0.25,                0.13306,                0.05322,                0.95464,                 5.0861,                0.58052,                0.68608,                0.91258,              0.0017743,              0.0017743,              0.0017743
                     60,                0.80834,                 5.0465,                0.57226,                0.58854,                0.93766,                0.98833,                      1,                  0.995,                0.81816,                0.49558,                    0.5,                0.43384,                0.08266,                0.65798,                 4.5931,                0.58313,                0.65447,                0.77833,              0.0017703,              0.0017703,              0.0017703
                     61,                0.73708,                 4.3418,                0.53983,                0.56079,                0.89931,                 0.9886,                      1,                  0.995,                0.91155,                0.49589,                    0.5,                  0.546,                 0.1638,                0.49591,                 4.0694,                0.58183,                0.42439,                0.75352,              0.0017664,              0.0017664,              0.0017664
                     62,                0.77625,                 4.8295,                0.56629,                0.65002,                0.97485,                 0.9883,                      1,                  0.995,                0.83705,                 0.9883,                      1,                  0.995,                0.39411,                0.77659,                 3.0324,                0.58367,                 0.5693,                0.80995,              0.0017624,              0.0017624,              0.0017624
                     63,                  0.754,                 4.7819,                0.56979,                0.62935,                0.92205,                0.98785,                      1,                  0.995,                0.82905,                0.98785,                      1,                  0.995,                0.33187,                0.83189,                 3.1254,                0.58568,                0.51854,                0.81527,              0.0017584,              0.0017584,              0.0017584
                     64,                0.74147,                 4.7872,                0.53625,                0.55879,                0.92676,                 0.9884,                      1,                  0.995,                0.90403,                 0.9884,                      1,                  0.995,                0.24134,                0.62216,                 3.3959,                0.58799,                0.47271,                0.78783,              0.0017545,              0.0017545,              0.0017545
                     65,                0.69451,                 5.1788,                0.57204,                0.55912,                0.93632,                 0.9849,                      1,                  0.995,                0.94559,                 0.9849,                      1,                  0.995,                0.29502,                 0.4859,                  3.028,                0.58534,                0.37218,                0.74942,              0.0017505,              0.0017505,              0.0017505
                     66,                0.66267,                 4.7402,                 0.5544,                0.53865,                0.91602,                0.98876,                      1,                  0.995,                0.90759,                0.98876,                      1,                  0.995,                0.42595,                0.51576,                 2.7787,                0.58549,                0.39153,                0.75806,              0.0017466,              0.0017466,              0.0017466
                     67,                 0.6163,                 4.1107,                0.52709,                0.51207,                0.90181,                 0.9889,                      1,                  0.995,                 0.8892,                 0.9889,                      1,                  0.995,                0.45163,                0.59417,                 2.7057,                0.58534,                0.35337,                0.78027,              0.0017426,              0.0017426,              0.0017426
